"NO.","FUNC","DATA","UNIT","TIME"
206,"TYPE T","OL/101.5","K","2024/10/25\12:33:01"
207,"TYPE T","OL/101.5","K","2024/10/25\12:33:01"
208,"TYPE T","OL/101.5","K","2024/10/25\12:33:02"
209,"TYPE T","OL/101.4","K","2024/10/25\12:33:02"
210,"TYPE T","OL/101.4","K","2024/10/25\12:33:03"
211,"TYPE T","OL/101.3","K","2024/10/25\12:33:04"
212,"TYPE T","OL/101.2","K","2024/10/25\12:33:04"
213,"TYPE T","OL/101.3","K","2024/10/25\12:33:05"
214,"TYPE T","OL/101.2","K","2024/10/25\12:33:05"
215,"TYPE T","OL/101.2","K","2024/10/25\12:33:06"
216,"TYPE T","OL/101.2","K","2024/10/25\12:33:07"
217,"TYPE T","OL/101.2","K","2024/10/25\12:33:07"
218,"TYPE T","OL/101.2","K","2024/10/25\12:33:08"
219,"TYPE T","OL/101.2","K","2024/10/25\12:33:08"
220,"TYPE T","OL/101.2","K","2024/10/25\12:33:09"
221,"TYPE T","OL/101.2","K","2024/10/25\12:33:10"
222,"TYPE T","OL/101.2","K","2024/10/25\12:33:10"
223,"TYPE T","OL/101.2","K","2024/10/25\12:33:11"
224,"TYPE T","OL/101.3","K","2024/10/25\12:33:11"
225,"TYPE T","OL/101.3","K","2024/10/25\12:33:12"
226,"TYPE T","OL/101.3","K","2024/10/25\12:33:13"
227,"TYPE T","OL/101.3","K","2024/10/25\12:33:13"
228,"TYPE T","OL/101.3","K","2024/10/25\12:33:14"
229,"TYPE T","OL/101.2","K","2024/10/25\12:33:14"
230,"TYPE T","OL/101.2","K","2024/10/25\12:33:15"
231,"TYPE T","OL/101.2","K","2024/10/25\12:33:16"
232,"TYPE T","OL/101.1","K","2024/10/25\12:33:16"
233,"TYPE T","OL/101.1","K","2024/10/25\12:33:17"
234,"TYPE T","OL/101.0","K","2024/10/25\12:33:17"
235,"TYPE T","OL/101.0","K","2024/10/25\12:33:18"
236,"TYPE T","OL/101.0","K","2024/10/25\12:33:18"
237,"TYPE T","OL/101.0","K","2024/10/25\12:33:19"
238,"TYPE T","OL/101.0","K","2024/10/25\12:33:20"
