2024-10-25,11:29:22,Sample Rate(S):,0.500
X,Y,R,Theta,Frequency,Noise,XH1,YH1,RH1,Theta H1,XH2,YH2,RH2,Theta H2,ADC1,ADC2,ADC3,ADC4
4.6517800000e-08,-1.1945600000e-08,4.8027400000e-08,-1.3616000000e+01,5.1660000000e+03,7.5345600000e-09,-2.0546800000e-08,4.2744200000e-08,4.6261600000e-08,1.1748200000e+02,-2.9753300000e-08,3.5423300000e-08,4.5894600000e-08,1.3111100000e+02,2.0860000000e+00,2.0870000000e+00,2.0840000000e+00,2.0790000000e+00
1.6749300000e-09,1.7560800000e-08,1.7646600000e-08,9.0187000000e+01,5.1660000000e+03,7.4013100000e-09,-1.2966600000e-08,-1.0679900000e-08,1.5334200000e-08,-1.2628100000e+02,-6.1671600000e-09,-1.4265000000e-08,1.4811100000e-08,-1.0540900000e+02,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0780000000e+00
1.5487800000e-08,1.5811800000e-08,2.2135000000e-08,4.5593000000e+01,5.1660000000e+03,7.7652300000e-09,-2.3849200000e-08,2.6524500000e-10,2.3852100000e-08,-1.7845700000e+02,-2.3905900000e-08,-5.9998000000e-09,2.5411400000e-08,-1.6365400000e+02,2.0870000000e+00,2.0870000000e+00,2.0840000000e+00,2.0790000000e+00
-2.2310600000e-08,-3.4088900000e-08,4.0743600000e-08,-1.2320400000e+02,5.1660000000e+03,7.2591100000e-09,4.1272100000e-08,2.8118400000e-09,4.1370000000e-08,2.6400000000e-01,4.0884600000e-08,9.2967100000e-09,4.1929600000e-08,1.1276000000e+01,2.0860000000e+00,2.0870000000e+00,2.0860000000e+00,2.0840000000e+00
1.0218600000e-09,3.6461600000e-08,3.6476800000e-08,8.9593000000e+01,5.1660000000e+03,6.8313300000e-09,-2.8146900000e-08,-2.2696800000e-08,3.5676100000e-08,-1.4036600000e+02,-2.1875600000e-08,-2.8181800000e-08,3.4219600000e-08,-1.2751300000e+02,2.0890000000e+00,2.0900000000e+00,2.0890000000e+00,2.0890000000e+00
1.7679900000e-08,-3.9590400000e-09,1.8118000000e-08,-1.2622000000e+01,5.1660000000e+03,7.5137700000e-09,-8.2886700000e-09,1.7803400000e-08,1.9638400000e-08,1.1454200000e+02,-1.2161100000e-08,1.6086200000e-08,2.0447900000e-08,1.2678300000e+02,2.0870000000e+00,2.0880000000e+00,2.0840000000e+00,2.0830000000e+00
3.9078100000e-10,3.6789900000e-08,3.6792000000e-08,8.9391000000e+01,5.1660000000e+03,6.9953600000e-09,-2.9284800000e-08,-2.3222800000e-08,3.7375100000e-08,-1.4191600000e+02,-2.3936700000e-08,-2.9173100000e-08,3.7665800000e-08,-1.2953000000e+02,2.0870000000e+00,2.0870000000e+00,2.0840000000e+00,2.0780000000e+00
-1.8990400000e-08,-3.1403800000e-08,3.6699900000e-08,-1.2116200000e+02,5.1660000000e+03,6.1720600000e-09,3.6889100000e-08,6.0980100000e-09,3.7390500000e-08,1.0802000000e+01,3.4796000000e-08,1.5020700000e-08,3.8436100000e-08,2.6827000000e+01,2.0880000000e+00,2.0890000000e+00,2.0840000000e+00,2.0780000000e+00
3.8351900000e-09,6.0401500000e-10,3.8832300000e-09,8.9500000000e+00,5.1660000000e+03,6.8643900000e-09,-2.5501300000e-09,2.5529600000e-09,3.6087000000e-09,1.3379100000e+02,-2.6627900000e-09,1.7731000000e-09,2.7051600000e-09,1.4616700000e+02,2.0870000000e+00,2.0870000000e+00,2.0840000000e+00,2.0780000000e+00
1.6616300000e-08,2.5068300000e-09,1.6810800000e-08,8.5790000000e+00,5.1660000000e+03,7.9728400000e-09,-1.4987200000e-08,8.8842200000e-09,1.7430300000e-08,1.5519900000e+02,-1.7574400000e-08,3.8173800000e-09,1.7991900000e-08,1.7342600000e+02,2.0880000000e+00,2.0890000000e+00,2.0830000000e+00,2.0780000000e+00
-5.1662200000e-09,6.2979700000e-08,6.3191800000e-08,9.4689000000e+01,5.1660000000e+03,7.1963600000e-09,-4.4626300000e-08,-4.4383100000e-08,6.2940000000e-08,-1.3360100000e+02,-3.2185800000e-08,-5.3451000000e-08,6.2174000000e-08,-1.2051400000e+02,2.0880000000e+00,2.0890000000e+00,2.0880000000e+00,2.0870000000e+00
6.6898600000e-09,-2.2084900000e-09,7.0769100000e-09,-1.8269000000e+01,5.1660000000e+03,6.3623300000e-09,-4.5327200000e-10,7.9706700000e-09,8.0093700000e-09,7.9728000000e+01,-3.7678500000e-10,9.4827700000e-09,1.3020000000e-08,7.6587000000e+01,2.0870000000e+00,2.0900000000e+00,2.0880000000e+00,2.0880000000e+00
-2.3315300000e-08,5.9244800000e-09,2.4061300000e-08,1.6574300000e+02,5.1660000000e+03,8.1980600000e-09,8.5128000000e-09,-2.5463100000e-08,2.6850800000e-08,-7.3861000000e+01,1.3683900000e-08,-2.5009400000e-08,3.0180800000e-08,-6.3028000000e+01,2.0870000000e+00,2.0890000000e+00,2.0880000000e+00,2.0880000000e+00
1.4393100000e-08,-1.0354100000e-08,1.7743500000e-08,-4.2705000000e+01,5.1660000000e+03,9.4120700000e-09,1.1252800000e-09,1.9940700000e-08,2.0193900000e-08,8.1021000000e+01,-1.2563400000e-09,2.1655300000e-08,2.1659600000e-08,8.9461000000e+01,2.0880000000e+00,2.0890000000e+00,2.0880000000e+00,2.0880000000e+00
