2024-10-25,11:54:57,Sample Rate(S):,0.400
X,Y,R,Theta,Frequency,Noise,XH1,YH1,RH1,Theta H1,XH2,YH2,RH2,Theta H2,ADC1,ADC2,ADC3,ADC4
-2.4754000000e-09,-7.3078000000e-09,7.7157200000e-09,-1.0871300000e+02,5.7612000000e+04,4.7509000000e-09,1.3140200000e-09,7.7000100000e-09,7.9948700000e-09,7.9178000000e+01,-6.7383600000e-09,-4.3032300000e-09,8.0814600000e-09,-1.4789700000e+02,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0840000000e+00
-7.7083400000e-09,-1.8224800000e-08,1.9787900000e-08,-1.1292600000e+02,5.7612000000e+04,3.9696900000e-09,4.5297500000e-09,1.9218800000e-08,1.9702600000e-08,7.6692000000e+01,-1.7050400000e-08,-9.8725700000e-09,1.9658000000e-08,-1.4997800000e+02,2.0870000000e+00,2.0880000000e+00,2.0860000000e+00,2.0830000000e+00
-3.1592300000e-09,-8.9546100000e-09,9.4955700000e-09,-1.0943300000e+02,5.7612000000e+04,3.8262000000e-09,1.5691600000e-09,9.5613200000e-09,9.7919500000e-09,8.0885000000e+01,-8.0928300000e-09,-5.5134500000e-09,9.9000300000e-09,-1.4553900000e+02,2.0870000000e+00,2.0880000000e+00,2.0860000000e+00,2.0840000000e+00
-2.7854100000e-09,7.9665000000e-09,8.4394800000e-09,1.0927200000e+02,5.7612000000e+04,3.5251500000e-09,4.4264400000e-09,-7.7644700000e-09,9.4355700000e-09,-5.9743000000e+01,2.6584500000e-09,9.0537900000e-09,1.0426800000e-08,7.4441000000e+01,2.0870000000e+00,2.0880000000e+00,2.0860000000e+00,2.0830000000e+00
-9.6052800000e-09,-4.3717800000e-09,1.0553400000e-08,-1.5590500000e+02,5.7612000000e+04,3.6274800000e-09,8.8319400000e-09,5.9141400000e-09,1.0659600000e-08,3.3650000000e+01,-1.0388100000e-08,2.4223000000e-09,1.0683600000e-08,1.6689500000e+02,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0840000000e+00
-1.1522600000e-08,1.7882000000e-08,2.1273000000e-08,1.2423000000e+02,5.7612000000e+04,3.2121900000e-09,1.4897900000e-08,-1.5460500000e-08,2.1567800000e-08,-4.5336000000e+01,7.3639200000e-10,2.1657800000e-08,2.1663000000e-08,8.8768000000e+01,2.0870000000e+00,2.0880000000e+00,2.0860000000e+00,2.0820000000e+00
-4.5640100000e-09,-1.0748400000e-08,1.1677300000e-08,-1.1350700000e+02,5.7612000000e+04,3.4163000000e-09,2.7885400000e-09,1.1340000000e-08,1.1702300000e-08,7.5707000000e+01,-1.0283300000e-08,-5.6055600000e-09,1.1711900000e-08,-1.5189100000e+02,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0820000000e+00
3.7029800000e-09,-3.4198300000e-09,5.0407600000e-09,-4.2724000000e+01,5.7612000000e+04,3.6473100000e-09,-4.1512900000e-09,2.8773600000e-09,5.0671400000e-09,1.4358600000e+02,6.1512500000e-10,-5.0300200000e-09,5.0866400000e-09,-8.4710000000e+01,2.0870000000e+00,2.0880000000e+00,2.0860000000e+00,2.0820000000e+00
5.8517900000e-09,-1.6963300000e-09,6.0927100000e-09,-1.5814000000e+01,5.7612000000e+04,3.6174700000e-09,-5.7788200000e-09,6.1866000000e-10,5.5423800000e-09,1.7426000000e+02,3.3845700000e-09,-4.3884700000e-09,5.2860900000e-09,-5.1961000000e+01,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0840000000e+00
-1.6886300000e-08,-8.0911800000e-09,1.8724700000e-08,-1.5439800000e+02,5.7612000000e+04,3.7775400000e-09,1.5299200000e-08,1.0947800000e-08,1.8900400000e-08,3.5860000000e+01,-1.8568100000e-08,3.5276200000e-09,1.9068800000e-08,1.6977900000e+02,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0830000000e+00
