2024-10-25,12:31:02,Sample Rate(S):,0.400
X,Y,R,Theta,Frequency,Noise,XH1,YH1,RH1,Theta H1,XH2,YH2,RH2,Theta H2,ADC1,ADC2,ADC3,ADC4
1.2234800000e-08,7.1842500000e-09,1.4188300000e-08,2.9520000000e+01,5.1660000000e+03,5.0445100000e-09,-1.3381400000e-08,3.8045400000e-09,1.3354200000e-08,1.6210500000e+02,-1.3295800000e-08,1.4699900000e-09,1.3072000000e-08,1.7237500000e+02,2.0860000000e+00,2.0870000000e+00,2.0840000000e+00,2.0780000000e+00
1.0178400000e-08,-5.5387400000e-09,1.1587900000e-08,-2.7757000000e+01,5.1660000000e+03,4.8489900000e-09,-3.3709000000e-09,1.1129000000e-08,1.1667200000e-08,1.0766000000e+02,-6.1868400000e-09,9.9742400000e-09,1.1737300000e-08,1.2262300000e+02,2.0870000000e+00,2.0890000000e+00,2.0870000000e+00,2.0860000000e+00
-2.6758900000e-08,-7.2489100000e-09,2.7723400000e-08,-1.6484300000e+02,5.1660000000e+03,5.8102000000e-09,2.3726200000e-08,-1.3940700000e-08,2.7306800000e-08,-3.0633000000e+01,2.5957300000e-08,-8.4785400000e-09,2.6879300000e-08,-1.8474000000e+01,2.0870000000e+00,2.0870000000e+00,2.0840000000e+00,2.0790000000e+00
7.6735600000e-09,5.8838400000e-09,9.6697600000e-09,3.7480000000e+01,5.1660000000e+03,6.1044400000e-09,-9.3274800000e-09,1.4212300000e-09,9.2018400000e-09,1.7048200000e+02,-9.1887800000e-09,-4.8575400000e-10,8.9692300000e-09,-1.7794200000e+02,2.0880000000e+00,2.0890000000e+00,2.0870000000e+00,2.0870000000e+00
-1.1971800000e-08,4.1143100000e-09,1.2659100000e-08,1.6157400000e+02,5.1660000000e+03,6.3563000000e-09,5.6423300000e-09,-1.1476400000e-08,1.2916500000e-08,-6.3268000000e+01,8.1768600000e-09,-1.0015200000e-08,1.3042400000e-08,-4.9082000000e+01,2.0880000000e+00,2.0900000000e+00,2.0870000000e+00,2.0870000000e+00
-4.6289300000e-09,8.3073100000e-09,9.5099500000e-09,1.1912700000e+02,5.1660000000e+03,6.2367600000e-09,-2.4495500000e-09,-9.0625000000e-09,9.2995200000e-09,-1.0451200000e+02,-3.1943000000e-10,-9.2940400000e-09,9.1951400000e-09,-9.1335000000e+01,2.0870000000e+00,2.0870000000e+00,2.0840000000e+00,2.0780000000e+00
1.4466600000e-08,-8.1042300000e-09,1.6582000000e-08,-3.0173000000e+01,5.1660000000e+03,6.4366900000e-09,-4.1480500000e-09,1.6115200000e-08,1.6667200000e-08,1.0399600000e+02,-7.4473500000e-09,1.4910700000e-08,1.6693500000e-08,1.1612100000e+02,2.0870000000e+00,2.0870000000e+00,2.0840000000e+00,2.0780000000e+00
2.7473900000e-08,8.5663800000e-09,2.8778500000e-08,1.7318000000e+01,5.1660000000e+03,6.3955800000e-09,-2.5514100000e-08,1.3791200000e-08,2.9467500000e-08,1.5094400000e+02,-2.8252300000e-08,8.3749000000e-09,2.9702200000e-08,1.6315200000e+02,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0820000000e+00
1.9375600000e-09,-3.3065900000e-08,3.3122600000e-08,-8.6646000000e+01,5.1660000000e+03,6.9015900000e-09,2.2341500000e-08,2.4780200000e-08,3.3364700000e-08,4.8005000000e+01,1.6616800000e-08,2.9429500000e-08,3.3984100000e-08,6.0583000000e+01,2.0870000000e+00,2.0870000000e+00,2.0860000000e+00,2.0840000000e+00
5.3372800000e-09,2.9329800000e-09,6.0906000000e-09,2.8790000000e+01,5.1660000000e+03,6.9733300000e-09,-5.7492700000e-09,1.1531700000e-09,5.7578300000e-09,1.7126000000e+02,-5.7447600000e-09,-3.8199600000e-10,5.6569300000e-09,-1.7360400000e+02,2.0870000000e+00,2.0890000000e+00,2.0870000000e+00,2.0860000000e+00
-1.1936600000e-08,-9.9127600000e-09,1.5516000000e-08,-1.4014000000e+02,5.1660000000e+03,6.4785000000e-09,1.5414900000e-08,-1.4931600000e-09,1.5463700000e-08,-5.3900000000e+00,1.5343300000e-08,1.9259200000e-09,1.5433100000e-08,7.4410000000e+00,2.0870000000e+00,2.0890000000e+00,2.0870000000e+00,2.0860000000e+00
8.2665600000e-10,1.5954500000e-08,1.5975900000e-08,8.7034000000e+01,5.1660000000e+03,6.4365900000e-09,-1.2067100000e-08,-1.0732900000e-08,1.6532700000e-08,-1.3827400000e+02,-9.6544600000e-09,-1.3596200000e-08,1.6738300000e-08,-1.2568000000e+02,2.0870000000e+00,2.0870000000e+00,2.0840000000e+00,2.0790000000e+00
