"NO.","FUNC","DATA","UNIT","TIME"
143,"TYPE T","OL/300.4","K","2024/10/25\9:09:04"
144,"TYPE T","OL/300.3","K","2024/10/25\9:09:04"
145,"TYPE T","OL/300.3","K","2024/10/25\9:09:05"
146,"TYPE T","OL/300.4","K","2024/10/25\9:09:06"
147,"TYPE T","OL/300.4","K","2024/10/25\9:09:06"
148,"TYPE T","OL/300.4","K","2024/10/25\9:09:07"
149,"TYPE T","OL/300.3","K","2024/10/25\9:09:07"
150,"TYPE T","OL/300.3","K","2024/10/25\9:09:08"
151,"TYPE T","OL/300.3","K","2024/10/25\9:09:08"
152,"TYPE T","OL/300.3","K","2024/10/25\9:09:09"
153,"TYPE T","OL/300.3","K","2024/10/25\9:09:10"
154,"TYPE T","OL/300.4","K","2024/10/25\9:09:10"
155,"TYPE T","OL/300.3","K","2024/10/25\9:09:11"
156,"TYPE T","OL/300.3","K","2024/10/25\9:09:11"
157,"TYPE T","OL/300.3","K","2024/10/25\9:09:12"
158,"TYPE T","OL/300.3","K","2024/10/25\9:09:13"
159,"TYPE T","OL/300.3","K","2024/10/25\9:09:13"
160,"TYPE T","OL/300.3","K","2024/10/25\9:09:14"
161,"TYPE T","OL/300.3","K","2024/10/25\9:09:14"
162,"TYPE T","OL/300.3","K","2024/10/25\9:09:15"
163,"TYPE T","OL/300.3","K","2024/10/25\9:09:16"
164,"TYPE T","OL/300.3","K","2024/10/25\9:09:16"
165,"TYPE T","OL/300.3","K","2024/10/25\9:09:17"
166,"TYPE T","OL/300.4","K","2024/10/25\9:09:17"
167,"TYPE T","OL/300.4","K","2024/10/25\9:09:18"
168,"TYPE T","OL/300.4","K","2024/10/25\9:09:19"
169,"TYPE T","OL/300.4","K","2024/10/25\9:09:19"
170,"TYPE T","OL/300.4","K","2024/10/25\9:09:20"
171,"TYPE T","OL/300.4","K","2024/10/25\9:09:20"
172,"TYPE T","OL/300.4","K","2024/10/25\9:09:21"
173,"TYPE T","OL/300.4","K","2024/10/25\9:09:21"
174,"TYPE T","OL/300.4","K","2024/10/25\9:09:22"
175,"TYPE T","OL/300.4","K","2024/10/25\9:09:23"
176,"TYPE T","OL/300.4","K","2024/10/25\9:09:23"
177,"TYPE T","OL/300.4","K","2024/10/25\9:09:24"
178,"TYPE T","OL/300.3","K","2024/10/25\9:09:24"
179,"TYPE T","OL/300.3","K","2024/10/25\9:09:25"
180,"TYPE T","OL/300.3","K","2024/10/25\9:09:26"
181,"TYPE T","OL/300.3","K","2024/10/25\9:09:26"
182,"TYPE T","OL/300.3","K","2024/10/25\9:09:27"
183,"TYPE T","OL/300.3","K","2024/10/25\9:09:27"
184,"TYPE T","OL/300.3","K","2024/10/25\9:09:28"
185,"TYPE T","OL/300.3","K","2024/10/25\9:09:29"
186,"TYPE T","OL/300.3","K","2024/10/25\9:09:29"
187,"TYPE T","OL/300.3","K","2024/10/25\9:09:30"
188,"TYPE T","OL/300.3","K","2024/10/25\9:09:30"
189,"TYPE T","OL/300.3","K","2024/10/25\9:09:31"
190,"TYPE T","OL/300.3","K","2024/10/25\9:09:32"
191,"TYPE T","OL/300.3","K","2024/10/25\9:09:32"
192,"TYPE T","OL/300.3","K","2024/10/25\9:09:33"
193,"TYPE T","OL/300.3","K","2024/10/25\9:09:33"
194,"TYPE T","OL/300.3","K","2024/10/25\9:09:34"
195,"TYPE T","OL/300.3","K","2024/10/25\9:09:34"
196,"TYPE T","OL/300.3","K","2024/10/25\9:09:35"
197,"TYPE T","OL/300.3","K","2024/10/25\9:09:36"
198,"TYPE T","OL/300.3","K","2024/10/25\9:09:36"
199,"TYPE T","OL/300.3","K","2024/10/25\9:09:37"
200,"TYPE T","OL/300.3","K","2024/10/25\9:09:37"
201,"TYPE T","OL/300.3","K","2024/10/25\9:09:38"
202,"TYPE T","OL/300.3","K","2024/10/25\9:09:39"
